timestamp,actual,prediction
1621103400,332.8,349.5
1621189800,284.9,337.67
1621276200,179.3,317.31
1621362600,209.5,265.01
1621449000,276.3,268.03
1621535400,301.1,287.69
1621621800,311.3,298.01
1621708200,305.3,297.21
1621794600,327.8,296.54
1621881000,337.4,314.73
1621967400,337.3,323.32
1622053800,335.2,323.07
1622140200,347.8,322.0
1622226600,352.4,329.84
1622313000,339.6,334.92
1622399400,349.4,331.89
1622485800,351.8,330.09
1622572200,354.5,331.01
1622658600,351.6,338.65
1622745000,357.7,340.79
1622831400,344.8,345.13
1622917800,335.8,337.55
1623004200,350.0,323.0
1623090600,359.5,327.97
1623177000,364.8,335.07
1623263400,367.3,344.7
1623349800,370.9,338.24
1623436200,371.8,324.84
1623522600,362.1,321.27
1623609000,382.8,314.78
1623695400,381.5,325.67
1623781800,375.0,329.89
1623868200,352.8,345.67
1623954600,326.7,347.53
1624041000,299.1,342.7
1624127400,273.6,326.33
1624213800,292.9,309.22
1624300200,307.3,312.56
1624386600,320.2,313.45
1624732200,338.3,325.04
1624818600,356.7,321.7
1624905000,347.3,329.95
1624991400,352.9,334.85
1625077800,359.3,345.7
1625164200,362.4,349.31
1625250600,371.7,350.01
1625337000,358.6,346.04
1625423400,382.8,340.12
1625509800,392.9,348.76
1625596200,406.5,356.18
1625682600,408.2,368.17
1625769000,410.4,369.41
1625855400,410.4,379.47
1625941800,392.7,376.68
1626028200,352.7,369.1
1626114600,330.2,354.43
1626201000,333.3,344.64
1626287400,333.3,337.24
1626373800,346.0,
1626460200,,318.58
