timestamp,actual,prediction
1621189800,284.9,342.14
1621276200,179.3,308.53
1621362600,209.5,244.48
1621449000,276.3,231.05
1621535400,301.1,285.56
1621621800,311.3,296.2
1621708200,305.3,315.45
1621794600,327.8,311.17
1621881000,337.4,320.7
1621967400,337.3,329.75
1622053800,335.2,327.55
1622140200,347.8,328.3
1622226600,352.4,336.51
1622313000,339.6,344.24
1622399400,349.4,332.24
1622485800,351.8,339.38
1622572200,354.5,345.16
1622658600,351.6,342.86
1622745000,357.7,346.41
1622831400,344.8,346.88
1622917800,335.8,342.36
1623004200,350.0,330.32
1623090600,359.5,340.31
1623177000,364.8,349.02
1623263400,367.3,352.15
1623349800,370.9,358.28
1623436200,371.8,362.41
1623522600,362.1,366.4
1623609000,382.8,363.52
1623695400,381.5,368.11
1623781800,375.0,376.09
1623868200,352.8,375.5
1623954600,326.7,363.17
1624041000,299.1,339.83
1624127400,273.6,310.44
1624213800,292.9,265.16
1624300200,307.3,310.02
1624386600,320.2,305.34
1624732200,338.3,337.73
1624818600,356.7,330.22
1624905000,347.3,340.07
1624991400,352.9,341.7
1625077800,359.3,340.18
1625164200,362.4,351.58
1625250600,371.7,351.09
1625337000,358.6,358.7
1625423400,382.8,356.94
1625509800,392.9,361.41
1625596200,406.5,376.71
1625682600,408.2,381.07
1625769000,410.4,383.45
1625855400,410.4,383.78
1625941800,392.7,383.93
1626028200,352.7,383.59
1626114600,330.2,368.24
1626201000,333.3,346.61
1626287400,333.3,332.8
1626373800,346.0,327.94
1626460200,,336.78
